Year,Year ending,Police Region,Local Government Area,Incidents Recorded,Rate,LGA
2018,June,2 Eastern, Maroondah,5843,4992.566263,Maroondah
2018,June,2 Eastern, Mitchell,3076,6910.496046,Mitchell
2018,June,2 Eastern, Moira,1478,4946.286938,Moira
2018,June,2 Eastern, Monash,8381,4234.496418,Monash
2018,June,2 Eastern, Murrindindi,563,3869.947759,Murrindindi
2018,June,2 Eastern, South Gippsland,945,3195.050208,South Gippsland
2018,June,2 Eastern, Strathbogie,446,4158.895934,Strathbogie
2018,June,2 Eastern, Towong,166,2723.990811,Towong
2018,June,2 Eastern, Wangaratta,1747,5974.487877,Wangaratta
2018,June,2 Eastern, Wellington,2727,6170.939784,Wellington
2018,June,2 Eastern, Whitehorse,6404,3673.450657,Whitehorse
2018,June,2 Eastern, Wodonga,2390,5759.17492,Wodonga
2018,June,2 Eastern, Yarra Ranges,5568,3530.844156,Yarra Ranges
2018,June,2 Eastern,Total,82917,4894.373451,Total
2018,June,3 Southern Metro, Bayside,3883,3714.190062,Bayside
2018,June,3 Southern Metro, Cardinia,4395,4113.627855,Cardinia
2018,June,3 Southern Metro, Casey,14895,4409.622717,Casey
2018,June,3 Southern Metro, Frankston,11094,7844.939752,Frankston
2018,June,3 Southern Metro, Glen Eira,5062,3323.89964,Glen Eira
2018,June,3 Southern Metro, Greater Dandenong,13883,8424.201603,Greater Dandenong
2018,June,3 Southern Metro, Kingston,8011,4958.467957,Kingston
2018,June,3 Southern Metro, Mornington Peninsula,8368,5028.362657,Mornington Peninsula
2018,June,3 Southern Metro, Port Phillip,9702,8766.128158,Port Phillip
2018,June,3 Southern Metro, Stonnington,8177,7217.950868,Stonnington
2018,June,3 Southern Metro,Total,87470,5608.431819,Total
2018,June,4 Western, Ararat,885,7505.088195,Ararat
2018,June,4 Western, Ballarat,8660,8054.465299,Ballarat
2018,June,4 Western, Buloke,184,2963.917526,Buloke
2018,June,4 Western, Campaspe,2557,6744.388468,Campaspe
2018,June,4 Western, Central Goldfields,993,7456.634377,Central Goldfields
2018,June,4 Western, Colac Otway,1270,5824.619336,Colac Otway
2018,June,4 Western, Corangamite,593,3656.431126,Corangamite
2018,June,4 Western, Gannawarra,423,3993.58006,Gannawarra
2018,June,4 Western, Glenelg,1108,5574.281833,Glenelg
2018,June,4 Western, Golden Plains,504,2175.508266,Golden Plains
2018,June,4 Western, Greater Bendigo,7137,6148.663783,Greater Bendigo
2018,June,4 Western, Greater Geelong,16152,6386.234328,Greater Geelong
2018,June,4 Western, Hepburn,642,4041.548631,Hepburn
2018,June,4 Western, Hindmarsh,240,4220.893422,Hindmarsh
2018,June,4 Western, Horsham,1640,8181.591419,Horsham
2018,June,4 Western, Loddon,337,4437.129691,Loddon
